orf_id,essential,probability of being essential
YAL001C ,1,0.120633680584
YAL002W ,0,0
YAL003W ,1,0.339457099636
YAL005C ,0,0.603767156601
YAL007C ,0,0.0683970509522
YAL009W ,0,0.132346229553
YAL011W ,0,0.292212277975
YAL012W ,0,0.119130649976
YAL013W ,0,0.12021571354
YAL014C ,0,0.174793071769
YAL015C ,0,0.0238948991198
YAL016W ,0,0.78390613142
YAL017W ,0,0.0625165149722
YAL018C ,0,0.038542676527
YAL019W ,0,0.813390449036
YAL020C ,0,0.140089102834
YAL021C ,0,0.837448068829
YAL022C ,0,0.0193475593308
YAL023C ,0,0.142660169552
YAL024C ,0,0.0345925078991
YAL025C ,1,0.649589815625
YAL026C ,0,0.713664901944
YAL027W ,0,0.268340720733
YAL028W ,0,0.00305412259651
YAL029C ,0,0.452577423304
YAL030W ,0,0.0157890134305
YAL031C ,0,0.0646476479513
YAL032C ,1,0.834081233694
YAL033W ,1,0.127823483673
YAL034C ,0,0.0415026352706
YAL034W-A ,1,0.460602562737
YAL035W ,0,0.934037717811
YAL036C ,0,0.638128405931
YAL037W ,0,0.00310675770985
YAL038W ,1,0.0827148010811
YAL040C ,0,0.199390240841
YAL041W ,1,0.599842183812
YAL042W ,0,0.422340086862
YAL043C ,1,0.767722440617
YAL046C ,0,0.0386821744842
YAL047C ,0,0.757525883489
YAL049C ,0,0.115010650281
YAL051W ,0,0.0282121967287
YAL053W ,0,0.0165142806162
YAL054C ,0,0.413707689555
YAL055W ,0,0.0256154930548
YAL056W ,0,0.000722721032595
YAL058W ,0,0.189052732492
YAL059W ,0,0.380312897265
YAL060W ,0,0.00579331351444
YAL061W ,0,0.0181790422973
YAL062W ,0,0.0552978806109
YAL067C ,0,0.00509452696683
YAL068C ,0,0.00345648172484
YAR002C-A ,0,0.202225865989
YAR002W ,0,0.117467571298
YAR003W ,0,0.752834090372
YAR007C ,1,0.976807783842
YAR008W ,1,0.0714660585814
YAR014C ,0,0.2227282775
YAR015W ,0,0.266787295179
YAR018C ,0,0.131468537599
YAR019C ,1,0.555139447962
YAR020C ,0,0.00129095195465
YAR023C ,0,0.000186310509494
YAR027W ,0,0.0010160650703
YAR028W ,0,0.0101092959909
YAR029W ,0,0.00106769441263
YAR031W ,0,0.00639130760244
YAR042W ,0,0.316946566701
YAR050W ,0,0.00495101352451
YBL001C ,0,0.0729564464917
YBL002W ,0,0.147804347942
YBL003C ,0,0.248181771838
YBL004W ,1,0.786524909384
YBL005W ,0,0.00520673214013
YBL006C ,0,0.0276802849194
YBL007C ,0,0.611094651586
YBL008W ,0,0.671468624882
YBL009W ,0,0.0270409996662
YBL010C ,0,0.00831764114472
YBL011W ,0,0.216065264617
YBL014C ,1,0.257180446684
YBL016W ,0,0.0947374464121
YBL017C ,0,0
YBL018C ,1,0.135439260552
YBL019W ,0,0.577172331836
YBL020W ,1,0.0975393933803
YBL021C ,0,0.77363111003
YBL023C ,1,0.9600425695
YBL024W ,0,0.620690514457
YBL025W ,0,0.147856813557
YBL026W ,1,0.647673173895
YBL027W ,0,0.0739940389428
YBL028C ,0,0.584042968546
YBL029W ,0,0.0233258759388
YBL031W ,0,0.0401456469877
YBL032W ,0,0.215309904143
YBL033C ,0,0.0749041011676
YBL034C ,1,0.864995736767
YBL035C ,1,0.836910804977
YBL036C ,0,0.877114079569
YBL037W ,0,0.230712929577
YBL039C ,0,0.574747044061
YBL040C ,1,0.373348313023
YBL041W ,1,0.229973091703
YBL042C ,0,0.00965657193536
YBL043W ,0,0.110773801947
YBL044W ,0,0.00198049480399
YBL046W ,0,0.141950724837
YBL047C ,0,0.673874802314
YBL049W ,0,0.194994194955
YBL050W ,1,0.791401890286
YBL051C ,0,0.162821176946
YBL052C ,0,0.161776906914
YBL054W ,0,0.00261116589722
YBL055C ,0,0.150822510726
YBL056W ,0,0.41159008558
YBL058W ,0,0.779297063959
YBL059W ,0,0.000464442719451
YBL060W ,0,0.0345390242646
YBL061C ,0,0.412055290533
YBL063W ,0,0.117912920385
YBL066C ,0,0.0416469484892
YBL067C ,0,0.00172463802725
YBL068W ,0,0.0443290072892
YBL069W ,0,0.00491728625154
YBL072C ,0,0.250164132118
YBL074C ,1,0.0447374119
YBL075C ,0,0.673560609233
YBL076C ,1,0.716315788302
YBL078C ,0,0.268002287525
YBL079W ,0,0.393159624121
YBL081W ,0,0.0414412251363
YBL082C ,0,0.00408431122334
YBL084C ,1,0.801539024115
YBL085W ,0,0.0303277761306
YBL086C ,0,0.0430688524947
YBL087C ,0,0.7408896235
YBL088C ,0,0.105744263002
YBL089W ,0,0.0457291658544
YBL091C ,0,0.882351717463
YBL092W ,1,0.264009410033
YBL093C ,0,0.239147301515
YBL095W ,0,0.0233539448199
YBL097W ,1,0.730542664258
YBL098W ,0,0.0354616982596
YBL101C ,0,0.00625038298054
YBL102W ,0,0.0376346801207
YBL103C ,0,0.151992833128
YBL104C ,0,0.340278188388
YBL105C ,1,0.43953602427
YBL106C ,0,0.131771513898
YBL107C ,0,0.00983504317701
YBR001C ,0,0.00514661458301
YBR002C ,1,0.1936700932
YBR003W ,0,0.113588169441
YBR005W ,0,0.00898385564797
YBR006W ,0,0.210998155177
YBR007C ,0,0.0749629811913
YBR008C ,0,0.00107646044474
YBR009C ,0,0.423994718898
YBR010W ,0,0.606453773876
YBR011C ,1,0.617959390084
YBR013C ,0,0.000305408510165
YBR014C ,0,0.0153815146396
YBR015C ,0,0.019711907858
YBR016W ,0,0.000453098809745
YBR017C ,0,0.765972205933
YBR018C ,0,0.290984399465
YBR019C ,0,0.261103015197
YBR020W ,0,0.0446226714932
YBR021W ,0,0.0102343508767
YBR022W ,0,0.00175730872133
YBR023C ,0,0.590517382672
YBR025C ,0,0.617446586173
YBR028C ,0,0.0820856667421
YBR029C ,1,0.16820108518
YBR030W ,0,0.239343722767
YBR031W ,0,0.154455929538
