orf_id,essential,probability of being essential
YAL001C ,1,0.128108927101
YAL002W ,0,0.178592558205
YAL003W ,1,0.648621516923
YAL005C ,0,0.55604143373
YAL007C ,0,0.0425216499389
YAL009W ,0,0.0380506133288
YAL011W ,0,0.247424672155
YAL012W ,0,0.0990300298668
YAL013W ,0,0.200776945434
YAL014C ,0,0.18608278726
YAL015C ,0,0.00845866643257
YAL016W ,0,0.563195499609
YAL017W ,0,0.143167078191
YAL018C ,0,0.0236503414392
YAL019W ,0,0.534260172484
YAL020C ,0,0.231101391912
YAL021C ,0,0.811044350613
YAL022C ,0,0.0117098493987
YAL023C ,0,0.233528532088
YAL024C ,0,0.0814841139429
YAL025C ,1,0.775995966461
YAL026C ,0,0.819934901137
YAL027W ,0,0.0865342823168
YAL028W ,0,0.00565479770536
YAL029C ,0,0.405276534813
YAL030W ,0,0.0287494793162
YAL031C ,0,0.147612660591
YAL032C ,1,0.567766317954
YAL033W ,1,0.135603194074
YAL034C ,0,0.0256603897929
YAL034W-A ,1,0.186667721857
YAL035W ,0,0.92143573991
YAL036C ,0,0.592002450203
YAL037W ,0,0.0057159037436
YAL038W ,1,0.299684355179
YAL040C ,0,0.132194963318
YAL041W ,1,0.348614564469
YAL042W ,0,0.572933786056
YAL043C ,1,0.46353075263
YAL046C ,0,0.0688355462221
YAL047C ,0,0.200126934355
YAL049C ,0,0.243806683258
YAL051W ,0,0.0509761672546
YAL053W ,0,0.0185219256715
YAL054C ,0,0.430834654857
YAL055W ,0,0.046011178663
YAL056W ,0,0.00668461040355
YAL058W ,0,0.299086849459
YAL059W ,0,0.136557223783
YAL060W ,0,0.0142216614261
YAL061W ,0,0.0197530282163
YAL062W ,0,0.170298171008
YAL067C ,0,0.00953821712691
YAL068C ,0,0.00643543663698
YAR002C-A ,0,0.133257950688
YAR002W ,0,0.132274225851
YAR003W ,0,0.446507943113
YAR007C ,1,0.917693266869
YAR008W ,1,0.123320238753
YAR014C ,0,0.0916548215461
YAR015W ,0,0.2789903424
YAR018C ,0,0.0835462474823
YAR019C ,1,0.0982423193601
YAR020C ,0,0.00240533340278
YAR023C ,0,0.00034348760939
YAR027W ,0,0.00111384576874
YAR028W ,0,0.00616583806307
YAR029W ,0,0.00196292450637
YAR031W ,0,0.00385602354263
YAR042W ,0,0.460623806715
YAR050W ,0,0.0167801835451
YBL001C ,0,0.0776706667218
YBL002W ,0,0.0432966201423
YBL003C ,0,0.0793804023063
YBL004W ,1,0.436887459428
YBL005W ,0,0.00559712857838
YBL006C ,0,0.0504170642996
YBL007C ,0,0.563510402279
YBL008W ,0,0.428342356694
YBL009W ,0,0.0482877868673
YBL010C ,0,0.0152520165014
YBL011W ,0,0.335999138653
YBL014C ,1,0.103295971304
YBL016W ,0,0.0353954382414
YBL017C ,0,0.201331059349
YBL018C ,1,0.110316174864
YBL019W ,0,0.595357453046
YBL020W ,1,0.166204579473
YBL021C ,0,0.547971477448
YBL023C ,1,0.896238361414
YBL024W ,0,0.565241168692
YBL025W ,0,0.0383358789292
YBL026W ,1,0.555787110104
YBL027W ,0,0.165649912689
YBL028C ,0,0.12549905697
YBL029W ,0,0.0461831512646
YBL031W ,0,0.0719781175118
YBL032W ,0,0.182211693004
YBL033C ,0,0.0790887615307
YBL034C ,1,0.353095733457
YBL035C ,1,0.805043039115
YBL036C ,0,0.715868414744
YBL037W ,0,0.355645099753
YBL039C ,0,0.523938332285
YBL040C ,1,0.267204680005
YBL041W ,1,0.512540111075
YBL042C ,0,0.0177638548641
YBL043W ,0,0.18742592031
YBL044W ,0,0.00364073479811
YBL046W ,0,0.115669010853
YBL047C ,0,0.555995384661
YBL049W ,0,0.215794838071
YBL050W ,1,0.697172757826
YBL051C ,0,0.327233605385
YBL052C ,0,0.132522815218
YBL054W ,0,0.00281077311151
YBL055C ,0,0.307149365891
YBL056W ,0,0.197900777969
YBL058W ,0,0.559248415714
YBL059W ,0,0.00328265771598
YBL060W ,0,0.0825473099299
YBL061C ,0,0.198290472885
YBL063W ,0,0.197216019291
YBL066C ,0,0.0741284380302
YBL067C ,0,0.00319172953944
YBL068W ,0,0.102649821311
YBL069W ,0,0.00522039617014
YBL072C ,0,0.4488485533
YBL074C ,1,0.0483609018001
YBL075C ,0,0.837051551297
YBL076C ,1,0.676798815077
YBL078C ,0,0.181720570702
YBL079W ,0,0.544946675409
YBL081W ,0,0.129352277352
YBL082C ,0,0.0388727323817
YBL084C ,1,0.592563881874
YBL085W ,0,0.045321716312
YBL086C ,0,0.076580442196
YBL087C ,0,0.431179061793
