orf_id,essential,probability of being essential
YAL001C ,1,0.391995116787
YAL002W ,0,0.481360619664
YAL003W ,1,0.255920439338
YAL005C ,0,0.381255191158
YAL007C ,0,0.0221239983741
YAL009W ,0,0.0347555760667
YAL011W ,0,0.697095391543
YAL012W ,0,0.0974306560121
YAL013W ,0,0.495838155933
YAL014C ,0,0.236666328101
YAL015C ,0,0.0320596371615
YAL016W ,0,0.385802798676
YAL017W ,0,0.418558572628
YAL018C ,0,0.0393034543234
YAL019W ,0,0.816513244496
YAL020C ,0,0.179465613961
YAL021C ,0,0.542400839717
YAL022C ,0,0.0305480282598
YAL023C ,0,0.287007998853
YAL024C ,0,0.391020916543
YAL025C ,1,0.39425643837
YAL026C ,0,0.705229786726
YAL027W ,0,0.124863858148
YAL028W ,0,0.160902068019
YAL029C ,0,0.630534520639
YAL030W ,0,0.0429181338102
YAL031C ,0,0.402779971915
YAL032C ,1,0.391114523204
YAL033W ,1,0.0689074275846
YAL034C ,0,0.0229896582939
YAL034W-A ,1,0.169166369019
YAL035W ,0,0.857080991854
YAL036C ,0,0.133139772987
YAL037W ,0,0.0681004007347
YAL038W ,1,0.118347575888
YAL040C ,0,0.39472885761
YAL041W ,1,0.393569505492
YAL042W ,0,0.276606084962
YAL043C ,1,0.537822550961
YAL046C ,0,0.0690491682971
YAL047C ,0,0.491014199237
YAL049C ,0,0.212441189616
YAL051W ,0,0.27715038746
YAL053W ,0,0.0755320096558
YAL054C ,0,0.269126690372
YAL055W ,0,0.0677589297879
YAL056W ,0,0.288448513247
YAL058W ,0,0.274940555069
YAL059W ,0,0.208543176678
YAL060W ,0,0.159162707478
YAL061W ,0,0.209420990459
YAL062W ,0,0.170409738308
YAL067C ,0,0.0264338937485
YAL068C ,0,0.0841258922997
YAR002C-A ,0,0.13181733006
YAR002W ,0,0.185294160247
YAR003W ,0,0.274435120748
YAR007C ,1,0.75905059576
YAR008W ,1,0.0620474629991
YAR014C ,0,0.29807884535
YAR015W ,0,0.16914550066
YAR018C ,0,0.0996090562642
YAR019C ,1,0.320806716474
YAR020C ,0,0.0346343800839
YAR023C ,0,0.00434095525365
YAR027W ,0,0.0134118310833
YAR028W ,0,0.0741048770508
YAR029W ,0,0.0241681873798
YAR031W ,0,0.0451872603754
YAR042W ,0,0.680693330765
YAR050W ,0,0.259928732829
YBL001C ,0,0.123046550767
YBL002W ,0,0.0425168574215
YBL003C ,0,0.0426616770268
YBL004W ,1,0.389251713659
YBL005W ,0,0.158496270685
YBL006C ,0,0.0742225277153
YBL007C ,0,0.855131938296
YBL008W ,0,0.260223502476
YBL009W ,0,0.103059057308
YBL010C ,0,0.170478296865
YBL011W ,0,0.403868518149
YBL014C ,1,0.446951232553
YBL016W ,0,0.0525756043404
YBL017C ,0,0.503866536186
YBL018C ,1,0.168409469917
YBL019W ,0,0.192125024679
YBL020W ,1,0.0896239069849
YBL021C ,0,0.171344762636
YBL023C ,1,0.818009163325
YBL024W ,0,0.26774647129
YBL025W ,0,0.0573790780497
YBL026W ,1,0.120216009752
YBL027W ,0,0.0207796606921
YBL028C ,0,0.123185057284
YBL029W ,0,0.0679681363444
YBL031W ,0,0.112701531638
YBL032W ,0,0.270157042518
YBL033C ,0,0.0706850969569
YBL034C ,1,0.699399520953
YBL035C ,1,0.535232001025
YBL036C ,0,0.323157008575
YBL037W ,0,0.39966930998
YBL039C ,0,0.259367608332
YBL040C ,1,0.0381150391067
YBL041W ,1,0.167330108583
YBL042C ,0,0.0484334115082
YBL043W ,0,0.280588703087
YBL044W ,0,0.040378332462
YBL046W ,0,0.262950565742
YBL047C ,0,0.758653330115
YBL049W ,0,0.124753856212
YBL050W ,1,0.278708580293
YBL051C ,0,0.424412394762
YBL052C ,0,0.397255756789
YBL054W ,0,0.0646924787062
YBL055C ,0,0.113215438675
YBL056W ,0,0.274550528767
YBL058W ,0,0.364369588964
YBL059W ,0,0.0389077902687
YBL060W ,0,0.262762921984
YBL061C ,0,0.097417484758
YBL063W ,0,0.168197221669
YBL066C ,0,0.367841397939
YBL067C ,0,0.099932913358
YBL068W ,0,0.159512989831
YBL069W ,0,0.11612211292
YBL072C ,0,0.0796793244779
YBL074C ,1,0.0436857921495
YBL075C ,0,0.711943368867
YBL076C ,1,0.649492861195
YBL078C ,0,0.102948689185
YBL079W ,0,0.492498125813
YBL081W ,0,0.274768194115
YBL082C ,0,0.0179011829064
YBL084C ,1,0.268938575983
YBL085W ,0,0.0982364238995
YBL086C ,0,0.111489485876
YBL087C ,0,0.0746033348535
YBL088C ,0,0.328735177716
YBL089W ,0,0.0404809188436
YBL091C ,0,0.594106812168
YBL092W ,1,0.118234643644
YBL093C ,0,0.102101693385
YBL095W ,0,0.123077271467
YBL097W ,1,0.634953420117
YBL098W ,0,0.295154494899
YBL101C ,0,0.102642647011
YBL102W ,0,0.0120642522861
YBL103C ,0,0.208212609498
YBL104C ,0,0.484687293861
YBL105C ,1,0.620345395187
YBL106C ,0,0.176473540172
YBL107C ,0,0.036136344634
YBR001C ,0,0.0216929654373
YBR002C ,1,0.0415253910151
YBR003W ,0,0.195306519568
YBR005W ,0,0.0252492151968
YBR006W ,0,0.366742637347
YBR007C ,0,0.25701640634
YBR008C ,0,0.0139468421076
YBR009C ,0,0.020454428582
YBR010W ,0,0.0409497676107
YBR011C ,1,0.0578685681902
YBR013C ,0,0.00721869517238
YBR014C ,0,0.0606346749514
YBR015C ,0,0.0956809396038
YBR016W ,0,0.0273016500645
YBR017C ,0,0.481928713778
YBR018C ,0,0.277630934606
YBR019C ,0,0.627786198206
YBR020W ,0,0.194250003455
YBR021W ,0,0.0306264979765
YBR022W ,0,0.0399917712885
YBR023C ,0,0.689881506118
YBR025C ,0,0.194161271795
YBR028C ,0,0.252593758575
YBR029C ,1,0.0626663853601
YBR030W ,0,0.387175598677
YBR031W ,0,0.0780677567331
YBR033W ,0,0.100015825695
YBR034C ,0,0.406828845249
YBR035C ,0,0.126688871384
YBR036C ,0,0.0406389826018
YBR038W ,1,0.134655770361
YBR040W ,0,0.012474763889
YBR041W ,0,0.337633130123
YBR042C ,0,0.0315926102351
YBR043C ,0,0.166110710502
YBR045C ,0,0.134115892413
YBR046C ,0,0.312606891419
YBR048W ,0,0.0404965941916
YBR049C ,1,0.856338767373
YBR050C ,0,0.0693433630782
YBR052C ,0,0.175225110008
YBR053C ,0,0.268486977483
YBR054W ,0,0.0124074869069
YBR055C ,1,0.388031825162
YBR056W ,0,0.0800230492044
YBR057C ,0,0.162907728957
YBR058C ,0,0.656809954148
YBR059C ,0,0.38181933403
YBR060C ,1,0.25247897527
YBR061C ,0,0.0611750381412
YBR062C ,0,0.0938352789238
YBR063C ,0,0.0686574466527
YBR065C ,0,0.196804230722
YBR066C ,0,0.0222567727095
YBR067C ,0,0.0348074470724
YBR068C ,0,0.0144260897301
YBR069C ,0,0.0456946806912
YBR070C ,1,0.0117295397342
YBR071W ,0,0.0577812146928
YBR072W ,0,0.163313893446
YBR073W ,0,0.485151235225
YBR074W ,0,0.120000754931
YBR076W ,0,0.0312126232622
YBR077C ,0,0.157779558301
YBR078W ,0,0.0942851488168
YBR079C ,1,0.805263074077
YBR080C ,1,0.62132958293
YBR081C ,0,0.643732988834
YBR082C ,0,0.0479689797387
YBR083W ,0,0.25905672654
YBR084C-A ,0,0.0418952830881
YBR086C ,0,0.360070348717
YBR087W ,1,0.0421097811112
YBR088C ,1,0.260834671912
YBR090C ,0,0.0103392342571
YBR092C ,0,0.107020209022
YBR093C ,0,0.10813475604
YBR094W ,0,0.752653276378
YBR095C ,0,0.389793997897
YBR096W ,0,0.172096153158
YBR098W ,0,0.395916738189
YBR101C ,0,0.267104250068
YBR102C ,1,0.253199921123
YBR103W ,0,0.224024677585
YBR105C ,0,0.0336896368131
YBR106W ,0,0.199862659586
YBR107C ,0,0.262314702384
YBR108W ,0,0.40548520003
YBR109C ,1,0.0980548676179
YBR110W ,1,0.0196177437901
YBR111C ,0,0.326283533906
YBR112C ,0,0.501268198093
YBR114W ,0,0.411560685005
YBR115C ,0,0.760219023508
YBR117C ,0,0.34887023614
YBR118W ,0,0.115776301785
YBR119W ,0,0.19537293689
YBR123C ,1,0.480844763564
YBR125C ,0,0.0384247541738
YBR126C ,0,0.395325117836
YBR127C ,0,0.283504580789
YBR128C ,0,0.122377879442
YBR129C ,0,0.194852947763
YBR130C ,0,0.414285958409
YBR131W ,0,0.48787061775
YBR132C ,0,0.0173447047919
YBR133C ,0,0.257398862625
YBR135W ,1,0.161361789597
YBR136W ,1,0.476448600199
YBR137W ,0,0.282888059553
YBR138C ,0,0.401132358909
YBR139W ,0,0.0522796473043
YBR140C ,1,0.320764834682
YBR141C ,0,0.125296394341
YBR142W ,1,0.755738621666
YBR143C ,1,0.522262900495
YBR145W ,0,0.0664414395483
YBR147W ,0,0.00561493661106
YBR148W ,0,0.542050758004
YBR149W ,0,0.346659430164
YBR150C ,0,0.224421759638
YBR151W ,0,0.0731431051411
YBR152W ,1,0.383732324609
YBR153W ,1,0.122288270626
YBR154C ,1,0.196529491671
YBR155W ,1,0.522121454185
YBR156C ,0,0.254676257127
YBR157C ,0,0.0395746188837
YBR158W ,0,0.25553548612
YBR159W ,0,0.0854262555493
YBR160W ,1,0.26162606985
YBR161W ,0,0.0171716818769
YBR162C ,0,0.102548947558
YBR162W-A ,0,0.124187209004
YBR163W ,0,0.270241437687
YBR164C ,0,0.216396205127
YBR165W ,0,0.0698011552782
YBR166C ,0,0.195995298963
YBR167C ,1,0.119686442356
YBR168W ,0,0.0325573263897
YBR169C ,0,0.741426277161
YBR170C ,0,0.491481745659
YBR171W ,0,0.319602928201
YBR172C ,0,0.41950840652
YBR173C ,0,0.400284203156
YBR175W ,0,0.0724854481428
YBR176W ,0,0.198932251648
YBR177C ,0,0.0319850268175
YBR180W ,0,0.0088650039442
YBR181C ,0,0.0418904292412
YBR182C ,0,0.0679995820348
YBR183W ,0,0.00394385429293
YBR184W ,0,0.404597844396
YBR186W ,0,0.33023593216
YBR187W ,0,0.206690301603
YBR188C ,0,0.0562216696925
YBR189W ,0,0.0422981511041
YBR191W ,0,0.0717978914353
YBR193C ,1,0.256760512458
YBR194W ,0,0.074509133026
YBR195C ,0,0.0584974628599
YBR196C ,1,0.364369318462
YBR197C ,0,0.121665977208
YBR198C ,1,0.163949954013
YBR199W ,0,0.0608047509323
YBR200W ,0,0.268670799832
YBR201W ,0,0.0056982956773
YBR202W ,1,0.690409612899
YBR203W ,0,0.685159761906
YBR204C ,0,0.122889212865
YBR205W ,0,0.217693044696
YBR207W ,0,0.0405568657612
YBR208C ,0,0.498924829932
YBR210W ,0,0.00218307859905
YBR211C ,1,0.138100511261
YBR213W ,0,0.0696029816315
YBR214W ,0,0.106891541114
YBR215W ,0,0.30480785016
YBR216C ,0,0.236293212965
YBR217W ,0,0.127127472311
YBR218C ,0,0.569945388303
YBR219C ,0,0.0119313269746
YBR220C ,0,0.0123849325094
YBR222C ,0,0.449569884099
YBR223C ,0,0.30083180964
YBR225W ,0,0.54967262862
YBR228W ,0,0.124218488986
YBR229C ,0,0.726123433113
YBR230C ,0,0.126963490393
YBR231C ,0,0.126292193929
YBR233W ,0,0.197377231483
YBR234C ,1,0.205502029994
YBR235W ,0,0.197451438041
YBR236C ,1,0.690911949805
YBR237W ,1,0.337135208426
YBR238C ,0,0.169716916712
YBR239C ,0,0.0309996568055
YBR240C ,0,0.100682307246
YBR241C ,0,0.0224888069598
YBR242W ,0,0.0382680415176
YBR243C ,1,0.010920576596
YBR244W ,0,0.018633243789
YBR245C ,0,0.490512680601
YBR246W ,0,0.0573865662075
YBR247C ,1,0.762822928477
YBR248C ,0,0.526119767495
YBR249C ,0,0.0712130986662
YBR250W ,0,0.188793379813
YBR252W ,1,0.215171869927
YBR253W ,1,0.167534277989
YBR254C ,1,0.120659722357
YBR255W ,0,0.401921346491
YBR256C ,1,0.263109800829
YBR257W ,1,0.109388003902
YBR258C ,0,0.267102765587
YBR259W ,0,0.226116607812
YBR260C ,0,0.6982516785
YBR261C ,0,0.263654036304
YBR264C ,0,0.0590064122163
YBR265W ,1,0.318547836542
YBR267W ,0,0.504042909426
YBR270C ,0,0.0383148338727
YBR271W ,0,0.159224660232
YBR272C ,0,0.388640638996
YBR273C ,0,0.124285675071
YBR274W ,0,0.350758165121
YBR275C ,0,0.397538573577
YBR276C ,0,0.397928617895
YBR278W ,0,0.104238405824
YBR279W ,0,0.681384278105
YBR280C ,0,0.204858628266
YBR281C ,0,0.627742955559
YBR283C ,0,0.0430099577285
YBR284W ,0,0.0450798569677
YBR285W ,0,0.138439587265
YBR286W ,0,0.48017840701
YBR287W ,0,0.281583584052
YBR288C ,0,0.269796012122
YBR289W ,0,0.402887969575
YBR290W ,0,0.23640377333
YBR293W ,0,0.00846815034293
YBR294W ,0,0.00526539754355
YBR295W ,0,0.160614699746
YBR296C ,0,0.084443246092
YBR297W ,0,0.0733183290549
YBR298C ,0,0.120909046639
YBR299W ,0,0.0897373772174
YBR301W ,0,0.0549985118436
YCL001W ,0,0.0717914322866
YCL002C ,0,0.0221762090176
YCL004W ,1,0.267279084704
YCL005W ,0,0.0261481495388
YCL008C ,0,0.0847398020408
YCL010C ,0,0.172687866816
YCL011C ,0,0.21457001117
YCL014W ,0,0.492962942823
YCL016C ,0,0.113570465595
YCL024W ,0,0.183851579774
YCL025C ,0,0.0446698509793
YCL027W ,0,0.158398681037
YCL028W ,0,0.420604212176
YCL029C ,0,0.626292099344
YCL030C ,0,0.767108850678
YCL031C ,1,0.314179711992
YCL032W ,0,0.140470632808
YCL033C ,0,0.0645104126548
YCL034W ,0,0.098827254457
YCL035C ,0,0.0618958219209
YCL036W ,0,0.175307638605
YCL037C ,0,0.416009161283
YCL038C ,0,0.0117757791239
YCL039W ,0,0.630811511366
YCL040W ,0,0.349041053477
YCL042W ,0,0.0363951843232
YCL043C ,1,0.49953106958
YCL045C ,0,0.856866725113
YCL047C ,0,0.124846334507
YCL048W ,0,0.158525714699
YCL049C ,0,0.0351800087522
YCL050C ,0,0.101475261608
YCL051W ,0,0.160639165955
YCL052C ,1,0.0957611313259
YCL054W ,1,0.684545833237
YCL055W ,0,0.101870469418
YCL056C ,0,0.0145766295408
YCL059C ,1,0.179530556424
YCL061C ,0,0.641957500329
YCL063W ,0,0.100311486257
YCL064C ,0,0.104756348321
YCL069W ,0,0.00373295573
YCR002C ,0,0.193863182267
YCR004C ,0,0.0408050966957
YCR005C ,0,0.0717066747065
YCR007C ,0,0.0167067408735
YCR008W ,0,0.0869015031494
YCR009C ,0,0.125882530342
YCR010C ,0,0.0179944866947
YCR011C ,0,0.407569890985
YCR012W ,1,0.29253680173
YCR014C ,0,0.565812174155
YCR015C ,0,0.123020712117
YCR016W ,0,0.300783095208
YCR017C ,0,0.160531375953
YCR019W ,0,0.0656881760392
YCR020C-A ,0,0.0716319697599
YCR021C ,0,0.0175549923706
YCR023C ,0,0.00860743090045
YCR024C-A ,0,0.0495718829692
YCR026C ,0,0.114125842617
YCR027C ,0,0.0495310833749
YCR028C ,0,0.00176434367499
YCR030C ,0,0.540531308727
YCR031C ,0,0.0205552342703
YCR032W ,0,0.227151550872
YCR033W ,0,0.387853850921
YCR034W ,0,0.0126610911162
YCR035C ,1,0.554424886296
YCR036W ,0,0.410452660011
YCR037C ,0,0.121150713148
YCR043C ,0,0.149427659189
YCR044C ,0,0.0393072232677
YCR045C ,0,0.166278453006
YCR047C ,0,0.0692078919028
YCR048W ,0,0.0313150165603
YCR051W ,0,0.263145272402
YCR052W ,1,0.234991940043
YCR053W ,0,0.762588703886
YCR054C ,1,0.490671681908
YCR057C ,1,0.854303127243
YCR059C ,0,0.160847977356
YCR060W ,0,0.0234769633284
YCR061W ,0,0.0293388474902
YCR063W ,0,0.0690134079009
