orf_id,essential,probability of being essential
b0002 ,0,0.130178373164
b0004 ,0,0.192905048022
b0005 ,0,0.217075798401
b0006 ,0,0.152209074474
b0007 ,0,0.0359196302295
b0008 ,0,0.0744667697984
b0009 ,1,0.259830993815
b0010 ,0,0.217640076546
b0011 ,0,0.104868413127
b0013 ,0,0.194660814548
b0014 ,1,0.603216402087
b0015 ,0,0.864997528493
b0016 ,0,0.0524337982276
b0019 ,0,0.107776606495
b0020 ,0,0.106526868704
b0021 ,0,0.0757458077679
b0022 ,1,0.270184515896
b0023 ,1,0.932959388132
b0025 ,1,0.934891866313
b0026 ,1,0.22260510278
b0027 ,1,0.773348610356
b0028 ,0,0.1939157499
b0029 ,1,0.597597736938
b0030 ,0,0.0518664352906
b0031 ,1,0.746741307232
b0032 ,0,0.604235800413
b0033 ,0,0.448139087359
b0034 ,0,0.220389924012
b0035 ,0,0.203238091742
b0036 ,0,0.053455920644
b0037 ,0,0.0278526707212
b0038 ,0,0.107517142445
b0039 ,0,0.0530287669972
b0040 ,0,0.0115523982234
b0041 ,0,0.0525154547283
b0042 ,0,0.0517826277593
b0043 ,0,0.0544129888769
b0044 ,0,0.208496900632
b0045 ,0,0.0117683067671
b0046 ,0,0.114998642017
b0047 ,0,0.0398665208742
b0048 ,1,0.879318717122
b0049 ,0,0.602024139078
b0050 ,0,0.355074363351
b0051 ,0,0.864941767618
b0052 ,0,0.525854952779
b0053 ,0,0.442275317065
b0054 ,1,0.1112280339
b0055 ,0,0.286626423319
b0056 ,0,0.217732114893
b0058 ,1,0.155775130443
b0059 ,0,0.036308528739
b0060 ,0,0.0255661527187
b0061 ,0,0.158451023055
b0062 ,0,0.0481355765157
b0063 ,0,0.0252015314065
b0064 ,0,0.106473153017
b0065 ,0,0.0678426780893
b0066 ,0,0.0775052190249
b0067 ,0,0.0365711340644
b0068 ,0,0.0666054281592
b0069 ,0,0.0121330602518
b0070 ,0,0.01194680198
b0071 ,0,0.292586509267
b0072 ,0,0.195923297165
b0073 ,0,0.100918791227
b0074 ,0,0.11430548785
b0076 ,0,0.0590046361948
b0077 ,0,0.0234437180077
b0078 ,0,0.262494088284
b0080 ,0,0.053589273455
b0081 ,0,0.218651386764
b0082 ,1,0.762215263032
b0083 ,1,0.873627303706
b0084 ,1,0.2595566936
b0085 ,1,0.598947802368
b0086 ,0,0.44812281521
b0087 ,0,0.391330229044
b0088 ,1,0.598873771727
b0089 ,1,0.131244762093
b0090 ,1,0.382146132753
b0091 ,1,0.578519231329
b0092 ,1,0.0389169690392
b0093 ,1,0.379735146578
b0094 ,1,0.436276960246
b0095 ,1,0.856620496825
b0097 ,1,0.106336860703
b0098 ,1,0.619594981074
b0099 ,0,0.361214681812
b0102 ,0,0.10716604538
b0103 ,1,0.773217360179
b0104 ,0,0.0834494437657
b0106 ,0,0.0321223562693
b0107 ,0,0.0743600019843
b0108 ,0,0.292686073041
