orf_id,essential,probability of being essential
b0002 ,0,0.0125178683889
b0004 ,0,0.0502981493744
b0005 ,0,0.831016900928
b0006 ,0,0.0609105947409
b0007 ,0,0.00730442303233
b0008 ,0,0.247197536035
b0009 ,1,0.355083679351
b0010 ,0,0.270097846363
b0011 ,0,0.142032289442
b0013 ,0,0.598456019605
b0014 ,1,0.247480344246
b0015 ,0,0.0973358821745
b0016 ,0,0.0237542966519
b0019 ,0,0.0468203968349
b0020 ,0,0.119143380425
b0021 ,0,0.40098611548
b0022 ,1,0.611346649922
b0023 ,1,0.938986937637
b0025 ,1,0.194841220147
b0026 ,1,0.0115766557336
b0027 ,1,0.637384475402
b0028 ,0,0.814805856595
b0029 ,1,0.114881212805
b0030 ,0,0.0240816719209
b0031 ,1,0.164385414911
b0032 ,0,0.0494860533553
b0033 ,0,0.165744854841
b0034 ,0,0.732260552545
b0035 ,0,0.169515845676
b0036 ,0,0.0719220440062
b0037 ,0,0.00821361898604
b0038 ,0,0.0332034202665
b0039 ,0,0.0155278239936
b0040 ,0,0.00330419638194
b0041 ,0,0.0595658752653
b0042 ,0,0.0430099147118
b0043 ,0,0.0250760565719
b0044 ,0,0.722407934513
b0045 ,0,0.00530262904394
b0046 ,0,0.701227896864
b0047 ,0,0.0123026145529
b0048 ,1,0.828486289084
b0049 ,0,0.0333713234437
b0050 ,0,0.865153126717
b0051 ,0,0.113186105501
b0052 ,0,0.135301685655
b0053 ,0,0.0773817609096
b0054 ,1,0.00704362574128
b0055 ,0,0.375580157964
b0056 ,0,0.185364671754
b0058 ,1,0.332197338667
b0059 ,0,0.0175402042029
b0060 ,0,0.00760593269688
b0061 ,0,0.161659163879
b0062 ,0,0.0138352582739
b0063 ,0,0.00741938478313
b0064 ,0,0.121209955486
b0065 ,0,0.097623236943
b0066 ,0,0.0294496825422
b0067 ,0,0.0071872127352
b0068 ,0,0.0136101251096
b0069 ,0,0.00345090547026
b0070 ,0,0.00543876406642
b0071 ,0,0.532128941396
b0072 ,0,0.0798744114402
b0073 ,0,0.0152661391504
b0074 ,0,0.0175716724214
b0076 ,0,0.0267688262348
b0077 ,0,0.00522143002275
b0078 ,0,0.816541904495
b0080 ,0,0.0443261835794
b0081 ,0,0.647076617347
b0082 ,1,0.0902900403326
b0083 ,1,0.910891241497
b0084 ,1,0.0226131921357
b0085 ,1,0.0494214475003
b0086 ,0,0.0267265760625
b0087 ,0,0.0397192594782
b0088 ,1,0.0485739166782
b0089 ,1,0.00995345997624
b0090 ,1,0.0380695697634
b0091 ,1,0.0816076400224
b0092 ,1,0.0226629654051
b0093 ,1,0.0901498958612
b0094 ,1,0.0256319739955
b0095 ,1,0.312720551041
b0097 ,1,0.0897936136104
b0098 ,1,0.0610411652923
b0099 ,0,0.839544442685
b0102 ,0,0.0820213721858
b0103 ,1,0.527566527327
b0104 ,0,0.0262509401815
b0106 ,0,0.00625047004124
b0107 ,0,0.0148557634948
b0108 ,0,0.398534887919
b0109 ,0,0.0597929117718
b0110 ,0,0.505016218213
b0111 ,0,0.0873428351747
b0112 ,0,0.00335418657494
b0113 ,0,0.199041274461
b0114 ,0,0.0771705061914
b0115 ,1,0.273151026666
b0116 ,1,0.147101924513
b0117 ,0,0.0317190064019
b0118 ,0,0.0647392219066
b0119 ,0,0.833590832162
b0120 ,0,0.0641335579708
b0121 ,0,0.086655510366
b0122 ,1,0.733797312975
b0123 ,0,0.0181465830252
b0124 ,0,0.00741986110236
b0125 ,0,0.914918886291
b0126 ,1,0.169526319789
b0127 ,0,0.0432064478309
b0128 ,0,0.0886800101484
b0129 ,1,0.533712054076
b0130 ,0,0.0498403538018
b0131 ,0,0.766046340976
b0132 ,0,0.0436616685474
b0133 ,0,0.114840018391
b0134 ,0,0.227648963099
b0135 ,0,0.0176590980962
b0136 ,0,0.206735176661
b0137 ,0,0.16334591017
b0138 ,0,0.156325460805
b0139 ,0,0.00348405929674
b0140 ,0,0.0413628930166
b0141 ,0,0.264055849034
b0142 ,1,0.526574334373
b0143 ,0,0.0584788739216
b0144 ,0,0.0829528564444
b0145 ,0,0.77413926904
b0146 ,0,0.0330439572606
b0147 ,0,0.587050385919
b0148 ,0,0.011364576152
b0149 ,0,0.0101280023855
b0150 ,0,0.00516260130416
b0151 ,0,0.0451268227201
b0152 ,0,0.0893695328385
b0153 ,0,0.0110203416324
b0154 ,1,0.0309437527508
b0155 ,0,0.0906015760623
b0156 ,0,0.985522787158
b0158 ,0,0.145577598152
b0159 ,1,0.149399220151
b0160 ,0,0.0111521600464
b0161 ,0,0.10561802946
b0162 ,0,0.0893993104195
b0163 ,0,0.871963252192
b0164 ,0,0.0819477167291
b0166 ,1,0.304076580538
b0167 ,1,0.00704196902943
b0168 ,1,0.154556118883
b0169 ,1,0.657303485216
b0170 ,1,0.958637519129
b0171 ,1,0.520542855533
b0172 ,1,0.779956616607
b0173 ,1,0.0263563134507
b0174 ,1,0.200805503524
b0175 ,1,0.0456865469502
b0176 ,0,0.0478442057967
b0177 ,1,0.020930090291
b0178 ,0,0.969145698043
b0180 ,1,0.907273146571
b0181 ,1,0.221774533391
b0182 ,1,0.106775345212
b0183 ,1,0.77582305449
b0184 ,1,0.0252829016919
b0185 ,1,0.380656002089
b0186 ,0,0.00552875345403
b0187 ,0,0.907454795983
b0188 ,1,0.0110767902248
b0189 ,0,0.86550431876
b0190 ,0,0.649263518012
b0191 ,0,0.812129068375
b0192 ,0,0.0515028139746
b0193 ,0,0.017172339838
b0194 ,1,0.0727560685523
b0196 ,0,0.600081780442
b0197 ,0,0.478406681418
b0198 ,0,0.131468049735
b0199 ,0,0.0155527117826
b0200 ,0,0.635271960071
b0207 ,0,0.0445362259634
b0208 ,0,0.0292712256399
b0209 ,0,0.206410858035
b0210 ,1,0.418921961073
b0211 ,0,0.0321739790961
b0212 ,0,0.0326318773613
b0213 ,0,0.12299113706
b0214 ,1,0.764293799798
b0215 ,1,0.563979249774
b0217 ,0,0.0499391169628
b0218 ,0,0.868656290614
b0219 ,0,0.0354700867087
b0220 ,0,0.459598579117
b0221 ,0,0.00745171884675
b0222 ,0,0.790737614036
b0223 ,0,0.132410005629
