orf_id,Essential,paralog_count,CAI,Leu,Ser,Thr,Cys,Trp,orf_size,strand_bias
b0002,N,1,"0,499",89,51,34,12,4,820,1
b0004,N,0,"0,535",54,19,23,4,3,428,1
b0005,N,0,"0,436",7,3,1,0,6,98,1
b0006,N,0,"0,482",31,15,13,0,2,258,0
b0007,N,0,"0,447",53,31,24,8,14,476,0
b0008,N,1,"0,734",33,16,17,3,4,317,1
b0009,Y,0,"0,501",20,12,14,3,1,195,1
b0010,N,0,"0,694",31,5,12,1,3,188,0
b0011,N,0,"0,403",39,15,8,2,2,237,0
b0013,N,0,"0,526",13,16,8,4,1,134,0
b0014,Y,2,"0,796",48,25,44,1,1,638,1
b0015,N,0,"0,637",23,12,18,10,0,376,1
b0016,N,2,"0,297",47,21,19,5,8,370,1
b0019,N,0,"0,446",64,24,13,3,8,388,1
b0020,N,0,"0,423",33,19,10,6,3,301,1
b0021,N,5,"0,382",18,15,7,1,5,167,0
b0022,Y,5,"0,443",5,10,8,5,1,91,0
b0023,Y,0,"0,693",4,4,2,0,0,87,0
b0025,Y,0,"0,446",42,9,14,4,0,313,1
b0026,Y,1,"0,697",77,47,47,14,23,938,1
b0027,Y,0,"0,547",22,10,5,2,6,164,1
b0028,N,0,"0,608",16,12,9,0,0,149,1
b0029,Y,0,"0,646",23,18,12,4,2,316,1
b0030,N,2,"0,469",36,13,17,8,3,304,1
b0031,Y,0,"0,511",24,13,14,2,1,273,1
b0032,N,0,"0,558",37,18,27,4,2,382,1
b0033,N,0,"0,738",83,46,60,14,4,1073,1
b0034,N,0,"0,299",17,9,8,6,4,166,1
b0035,N,1,"0,375",17,8,12,4,1,203,0
b0036,N,2,"0,522",29,15,11,1,4,297,0
b0037,N,5,"0,489",42,23,28,18,7,522,0
b0038,N,0,"0,588",33,14,22,7,7,405,0
b0039,N,1,"0,627",29,18,19,7,6,380,0
b0040,N,1,"0,52",58,29,32,11,23,504,0
