orf_id,Essential,upstream_size,downstream_size,paralagous_count,phyletic_retention,promoter_count(Harbison_et_al),DIP_degree,PI,CAI,Codon_bias,ASP,GLN,GLU,MET,Gravy_score,aromaticity_score,cytoplasm,endosome,ER to Golgi,mitochondrion,nucleolus,nucleus,spindle pole,vacuolar membrane,vacuole
YAL001C,Y,1090,62,0,2,0,1,10.16,121,-19,79,37,73,17,-0.511552,0.07931,1,0,0,0,0,1,0,0,0
YAL002W,N,839,62,0,2,74,3,5.74,134,55,69,53,80,15,-0.090346,0.096546,0,1,0,0,0,0,0,0,0
YAL003W,Y,742,839,0,4,68,3,4.13,763,741,22,9,22,4,-0.416505,0.07767,0,0,0,0,0,0,0,0,0
YAL005C,N,742,1157,12,4,0,7,4.82,709,0.76,49,23,51,8,-0.426013,0.063863,1,0,0,0,0,0,0,0,0
YAL007C,N,1157,187,1,3,0,25,4.83,235,0.23,12,5,13,3,0.147907,0.102326,0,0,0,0,0,0,0,0,0
YAL009W,N,188,280,0,2,13,5,10.84,111,0.03,12,11,13,3,-0.32085,0.119691,0,0,0,0,0,1,0,0,0
YAL011W,N,215,106,0,1,11,3,9.95,148,85,40,32,69,19,-1.10736,0.0544,0,0,0,0,0,1,0,0,0
YAL012W,N,441,215,4,2,39,5,6.52,0.42,548,21,15,21,3,-0.144416,0.06599,1,0,0,0,0,0,0,0,0
YAL013W,N,250,441,0,1,15,2,4.47,107,82,34,23,55,9,-995,0.064286,0,0,0,0,0,0,0,0,0
YAL014C,N,250,149,0,2,0,2,4.49,0.1,34,23,22,17,4,-0.507451,0.039216,1,0,0,0,0,1,0,0,0
YAL015C,N,149,116,1,1,0,11,8.06,0.12,77,21,22,30,12,-0.349373,0.067669,1,0,0,0,0,1,0,0,0
YAL016W,N,386,116,0,4,25,12,4.38,177,115,53,27,39,9,0.085512,0.072441,1,0,0,0,0,1,0,0,0
YAL017W,N,683,11,4,2,56,3,5.56,126,12,96,40,96,25,-0.471534,0.074484,1,0,0,0,0,0,0,0,0
YAL018C,N,683,249,0,1,0,7,9.42,154,97,5,12,13,10,0.440923,0.172308,0,0,0,0,0,0,0,0,0
YAL019W,N,303,249,9,3,28,5,5.13,163,81,104,46,85,22,-0.766844,0.068081,0,0,0,0,0,1,0,0,0
YAL020C,N,303,254,0,3,0,0,6.7,59,-82,19,22,14,6,-0.318318,0.084084,0,0,0,0,0,0,0,0,0
YAL021C,N,254,415,0,5,0,21,6.84,137,117,50,61,35,22,-0.559976,0.0908,1,0,0,0,0,0,0,0,0
YAL022C,N,415,325,0,1,0,5,4.79,119,78,25,12,32,19,0.262669,0.121857,0,0,0,0,0,0,0,0,0
YAL023C,N,325,399,5,3,0,0,7.68,0.24,337,36,22,30,24,-0.052437,0.147563,0,0,0,0,0,0,0,0,0
