orf_id,Essential,upstream_size,downstream_size,paralagous_count,PI,CAI,ASP,GLN,GLU,LYS,MET,FOP_score,Gravy_score,aromaticity_score
YAL001C,Y,1090,62,0,10.16,121,79,37,73,125,17,409,-0.511552,0.07931
YAL002W,N,839,62,0,5.74,134,69,53,80,79,15,446,-0.090346,0.096546
YAL003W,Y,742,839,0,4.13,763,22,9,22,18,4,849,-0.416505,0.07767
YAL005C,N,742,1157,12,4.82,709,49,23,51,53,8,858,-0.426013,0.063863
YAL007C,N,1157,187,1,4.83,235,12,5,13,14,3,557,0.147907,0.102326
YAL009W,N,188,280,0,10.84,111,12,11,13,17,3,424,-0.32085,0.119691
YAL011W,N,215,106,0,9.95,148,40,32,69,85,19,462,-1.10736,0.0544
YAL012W,N,441,215,4,6.52,0.42,21,15,21,22,3,728,-0.144416,0.06599
YAL013W,N,250,441,0,4.47,107,34,23,55,28,9,465,-995,0.064286
YAL014C,N,250,149,0,4.49,0.1,23,22,17,13,4,418,-0.507451,0.039216
YAL015C,N,149,116,1,8.06,0.12,21,22,30,36,12,456,-0.349373,0.067669
YAL016W,N,386,116,0,4.38,177,53,27,39,35,9,0.47,0.085512,0.072441
YAL017W,N,683,11,4,5.56,126,96,40,96,102,25,414,-0.471534,0.074484
YAL018C,N,683,249,0,9.42,154,5,12,13,15,10,466,0.440923,0.172308
YAL019W,N,303,249,9,5.13,163,104,46,85,102,22,461,-0.766844,0.068081
YAL020C,N,303,254,0,6.7,59,19,22,14,10,6,346,-0.318318,0.084084
YAL021C,N,254,415,0,6.84,137,50,61,35,52,22,473,-0.559976,0.0908
YAL022C,N,415,325,0,4.79,119,25,12,32,20,19,461,0.262669,0.121857
YAL023C,N,325,399,5,7.68,0.24,36,22,30,34,24,599,-0.052437,0.147563
YAL024C,N,399,419,0,6.43,123,91,56,99,106,27,0.41,-0.603136,0.068293
YAL025C,Y,419,527,0,5.07,219,22,15,44,32,6,534,-1.18497,0.068627
YAL026C,N,527,157,5,5.34,188,84,47,89,79,28,497,-0.212546,0.110701
YAL027W,N,200,157,0,10.12,112,14,12,14,24,4,406,-0.255173,0.061303
YAL028W,N,629,200,0,9.43,113,35,21,28,49,13,392,-0.6875,0.060606
YAL029C,N,629,102,4,7.63,0.15,69,68,115,120,33,472,-0.328076,0.096533
YAL030W,N,254,102,1,8.42,132,8,4,8,8,5,0.45,-0.219658,0.051282
YAL031C,N,254,274,0,10.51,123,27,28,41,66,13,436,-0.455921,75
YAL032C,Y,274,107,0,9.93,139,22,19,29,34,7,481,-0.826121,0.055409
YAL033W,Y,754,107,0,7.83,93,13,4,10,14,5,417,-0.242775,0.052023
YAL034C,N,754,122,1,10.71,125,20,15,13,32,8,0.43,-0.835351,0.094431
YAL034W-A,Y,282,122,0,4.96,109,25,9,30,32,6,375,-0.529066,0.048443
YAL035W,N,274,282,0,5.55,355,61,50,123,122,17,654,-0.740918,0.043912
YAL036C,N,274,219,1,8.49,239,24,11,22,29,6,548,-0.131707,0.056911
YAL037W,N,501,219,0,8.04,94,14,18,11,17,7,378,-0.122846,0.097378
YAL038W,Y,2260,137,1,7.66,893,32,10,28,37,11,0.93,-148,62
YAL040C,N,1195,373,0,9.78,205,24,24,16,34,12,536,-0.261035,0.098276
YAL041W,Y,276,373,0,8.69,128,36,40,54,62,22,442,-0.477635,0.076112
YAL042W,N,263,276,0,6.81,118,27,19,20,21,9,0.46,-0.399759,0.089157
YAL043C,Y,263,232,0,6.17,0.13,48,40,51,61,21,478,-0.362548,0.06879
YAL046C,N,132,171,0,10.72,113,4,8,5,12,6,486,-0.426271,0.050847
YAL047C,N,171,199,0,4.81,143,40,39,69,53,10,453,-0.777813,0.053055
YAL049C,N,205,104,0,6.24,172,18,5,14,20,3,461,-0.081301,0.109756
YAL051W,N,313,104,1,6.82,143,55,29,65,65,33,441,-0.268004,0.090735
YAL053W,N,876,313,3,7.78,166,37,30,23,35,15,518,0.229119,0.12516
YAL054C,N,876,161,1,6.6,255,48,22,38,47,8,589,-0.27195,0.096774
YAL055W,N,373,161,0,8.33,87,14,4,9,16,4,345,-0.298333,0.066667
YAL056W,N,286,373,1,7.41,113,57,24,45,60,26,396,-0.459091,0.089773
YAL058W,N,316,286,0,5.04,109,25,18,41,27,13,425,-0.344821,0.089641
YAL059W,N,205,316,0,10.42,174,14,7,19,28,3,488,-0.830189,0.042453
YAL060W,N,453,205,4,6.64,224,21,10,25,31,11,566,-0.049738,0.065445
YAL061W,N,507,453,4,6.04,144,25,6,34,23,10,495,-0.235252,0.069544
YAL062W,N,3598,507,1,5.23,156,21,18,34,31,10,506,-0.193217,0.091904
YAL067C,N,3029,4528,2,8.05,184,30,18,29,39,11,495,-0.062732,0.155143
YAL068C,N,310,1806,19,5.04,628,5,4,5,3,4,817,0.254167,0.091667
YAR002C-A,N,280,188,2,7.42,325,15,14,12,19,4,616,-0.130594,0.09589
YAR002W,N,1090,188,0,10.16,143,19,18,41,52,6,447,-0.832653,0.070501
YAR003W,N,280,468,0,4.52,129,29,15,38,19,5,446,-0.288498,0.093897
YAR007C,Y,345,468,0,6.13,206,42,32,37,39,10,523,-0.558937,0.095008
YAR008W,Y,345,6964,0,7.75,121,22,11,15,21,6,411,-0.281818,0.087273
YAR014C,N,503,6964,0,4.26,0.12,83,25,64,44,14,388,-1.06747,0.066478
YAR015W,N,503,100,0,5.8,0.23,21,9,26,29,3,584,-0.395425,0.091503
YAR018C,N,510,100,1,8.65,138,19,28,37,35,10,454,-0.665977,0.110345
YAR019C,Y,1720,510,12,7.97,138,57,27,42,69,17,455,-0.113655,0.097536
YAR020C,N,2257,1720,0,4.76,482,2,1,3,1,1,685,0.558182,0.072727
YAR023C,N,3945,2257,5,7.83,103,5,10,9,10,4,405,0.073743,0.134078
YAR027W,N,3945,414,7,6.1,128,8,5,19,15,5,425,0.093617,0.119149
YAR028W,N,414,724,6,5.01,122,11,7,16,14,11,436,0.010684,0.111111
YAR029W,N,724,290,0,4.55,116,3,3,10,3,1,375,-0.782432,0.175676
YAR031W,N,290,374,6,8.08,107,14,11,22,25,6,369,-0.329195,0.161074
YAR042W,N,201,7214,3,5.34,176,96,47,89,90,22,493,-0.757576,0.077441
YAR050W,N,7214,12181,5,3.93,259,43,33,85,19,29,647,-0.16311,0.058556
YBL001C,N,1473,264,0,6.67,243,9,3,6,9,3,0.55,-0.201923,0.048077
YBL002W,N,699,264,1,10.89,563,3,4,8,19,2,767,-0.620611,0.053435
YBL003C,N,699,276,1,11.43,544,3,6,5,11,1,748,-0.315909,0.030303
YBL004W,Y,7235,276,0,7.03,146,139,84,173,179,52,448,-0.168993,0.098676
YBL005W,N,340,7235,2,6.55,148,52,45,60,63,17,451,-0.308299,0.11168
YBL006C,N,340,326,0,9.32,57,6,12,12,12,2,298,-0.436111,0.061111
YBL007C,N,326,456,0,5.69,189,66,83,74,77,46,519,-0.654421,0.06672
YBL008W,N,4,456,0,7.13,128,63,21,46,66,11,416,-0.38381,0.069048
YBL009W,N,244,184,1,10.12,141,37,34,26,57,10,437,-0.545414,0.075444
YBL010C,N,244,289,0,4.84,122,25,16,27,22,4,0.42,-0.856071,0.071429
YBL011W,N,299,289,1,7.27,166,36,21,63,59,19,496,-0.295389,0.086957
YBL014C,Y,307,3361,0,4.87,0.12,76,50,56,51,11,405,-0.484564,0.083893
YBL016W,N,867,609,12,7.11,0.11,21,12,24,22,9,0.44,-0.287818,0.09915
YBL017C,N,867,369,2,4.59,163,131,42,115,109,28,457,-0.477707,0.11273
YBL018C,Y,369,82,0,4.55,175,14,6,10,9,3,484,-0.467669,0.112782
YBL019W,N,227,82,0,9.81,122,35,18,27,45,11,421,-0.490962,0.088462
YBL020W,Y,306,227,0,9.94,139,17,21,24,33,10,0.47,0.406446,0.151568
YBL021C,N,306,384,0,4.6,91,8,10,15,9,4,0.41,-0.702778,0.048611
YBL023C,Y,347,331,5,4.87,175,69,32,86,38,18,489,-0.637327,0.062212
YBL024W,N,615,331,1,7.32,0.27,40,21,58,61,12,573,-0.580409,0.076023
YBL025W,N,442,615,0,4.95,99,11,4,13,10,1,364,-0.311724,0.082759
YBL026W,Y,1246,442,0,8.4,169,7,4,6,8,3,522,-0.293684,0.094737
YBL027W,N,584,1246,1,11.93,708,7,7,12,23,1,844,-0.950794,0.037037
YBL028C,N,584,253,0,10.97,261,8,5,8,22,3,0.51,-1.36981,0.04717
YBL029W,N,1361,253,0,6.39,117,17,9,26,22,6,401,-0.843085,0.082447
YBL031W,N,369,325,0,11.19,131,15,15,12,29,8,465,-0.997929,0.050296
YBL032W,N,490,369,0,5.97,191,20,7,35,30,3,542,-0.397375,0.049869
YBL033C,N,490,266,0,6.3,112,26,14,22,16,6,417,-0.59971,0.055072
YBL034C,Y,266,237,0,6.25,148,91,58,102,131,44,445,-0.444679,0.09187
YBL035C,Y,237,272,0,7.04,145,37,35,44,51,9,465,-0.437872,0.08227
YBL036C,N,272,160,0,6.38,236,16,9,23,26,4,548,-0.453696,0.07393
YBL037W,N,323,160,0,8.97,135,49,43,52,72,18,445,-0.088585,0.077073
YBL039C,N,458,416,1,5.93,309,35,15,48,45,17,619,-0.239378,0.074266
YBL040C,Y,524,139,0,10.62,182,6,5,5,15,7,527,0.410959,0.173516
YBL041W,Y,986,139,0,5.99,166,18,6,15,17,3,498,-0.436929,0.112033
YBL042C,N,986,879,5,7.47,168,30,11,24,34,10,516,0.190923,0.15493
YBL043W,N,321,879,0,4.09,173,29,6,24,12,2,478,-0.89144,0.077821
YBL044W,N,481,321,0,10.99,102,4,4,6,9,3,432,-0.748361,0.057377
YBL046W,N,383,393,0,4.09,129,61,12,47,32,16,384,-1.0356,0.072562
YBL047C,N,383,650,0,4.44,197,81,107,111,71,20,517,-0.684938,0.04924
YBL049W,N,708,650,0,9.71,157,6,7,5,11,3,496,-0.556522,0.108696
YBL050W,Y,365,708,0,4.8,159,24,15,24,27,4,439,-0.513014,0.099315
YBL051C,N,365,878,0,6.21,187,24,67,30,22,15,0.52,-0.795659,0.055389
YBL052C,N,878,212,0,6.4,132,59,24,75,69,12,418,-0.853309,0.101083
YBL054W,N,759,212,1,10.14,142,26,17,31,42,9,469,-0.940381,0.057143
YBL055C,N,759,404,0,6.72,125,26,18,26,34,9,417,-0.337081,0.102871
YBL056W,N,317,404,2,4.29,177,48,14,37,26,13,458,-0.410256,0.057692
YBL058W,N,192,92,0,4.72,144,32,25,35,23,7,453,-0.960993,0.07565
YBL059W,N,54,192,0,10.87,89,8,9,7,16,8,385,-0.310881,0.088083
YBL060W,N,525,129,0,6.38,143,36,20,55,58,18,454,-0.510626,0.09607
YBL061C,N,525,94,1,10.08,113,34,36,38,60,17,386,-0.684627,0.076149
YBL063W,N,729,94,1,6.85,143,60,69,75,86,20,449,-0.625472,0.051305
YBL066C,N,255,1022,0,7.57,142,59,57,48,62,22,452,-0.521864,0.074913
YBL067C,N,1022,421,1,6.17,145,49,23,55,65,11,435,-0.706024,0.078983
YBL068W,N,383,421,3,6.35,199,24,11,17,20,7,519,-0.060245,0.04893
YBL069W,N,514,383,1,8.57,169,27,12,22,41,11,482,-0.299301,0.102564
YBL072C,N,332,733,1,11.42,747,3,7,14,22,1,862,-0.8295,0.08
YBL074C,Y,733,273,0,4.77,143,28,16,29,24,16,442,-0.63662,0.126761
YBL075C,N,273,237,12,4.89,177,51,20,49,46,9,496,-0.489368,0.063174
YBL076C,Y,237,312,2,5.94,342,78,24,79,93,18,0.62,-0.340392,0.113806
YBL078C,N,312,610,0,9.92,0.15,7,2,10,13,3,482,-0.477778,0.119658
YBL079W,N,563,610,1,6.04,151,80,60,93,98,28,463,-0.188549,0.099867
YBL081W,N,738,97,0,9.49,166,9,22,4,8,11,548,-0.964946,0.092391
YBL082C,N,738,305,0,9.29,107,14,19,13,20,21,453,0.429039,0.131004
YBL084C,Y,305,350,0,8.86,116,28,39,30,50,16,395,-0.434697,0.08971
YBL085W,N,1273,350,2,9.89,132,46,42,69,88,15,432,-0.893061,0.071429
YBL086C,N,1273,463,0,9.84,115,25,15,24,40,7,418,-0.850429,0.075107
YBL087C,N,463,438,1,11.11,624,5,2,4,11,6,798,-0.077372,0.051095
YBL088C,N,438,65,3,6.9,123,149,112,179,207,59,406,-0.164873,0.110513
YBL089W,N,215,65,3,9.12,98,10,13,13,15,12,392,0.572985,0.111111
YBL091C,N,196,498,0,6.3,211,32,14,35,37,10,538,-0.702851,0.076009
YBL092W,Y,1059,194,0,11.83,818,3,2,4,19,2,906,-0.678462,0.061538
YBL093C,N,1059,166,0,6.29,104,18,20,9,12,6,0.42,-1.00091,0.086364
YBL095W,N,181,166,0,7.92,121,12,8,19,21,5,423,-0.115556,0.096296
YBL097W,Y,383,181,0,4.41,147,89,26,67,56,16,433,-0.890716,0.072944
YBL098W,N,454,383,0,8.52,165,32,12,26,37,16,463,-0.282391,0.095652
YBL101C,N,127,200,1,6.88,124,65,33,67,65,18,421,-0.651388,0.068039
YBL102W,N,562,200,0,8.98,99,6,11,7,5,7,426,0.289302,0.139535
YBL103C,N,562,975,0,5.73,147,26,23,37,24,14,444,-0.824486,0.061728
YBL104C,N,975,620,0,6,142,75,29,62,57,23,445,-0.559345,0.088632
YBL105C,Y,620,361,10,7.08,171,72,72,87,99,25,0.47,-0.681408,0.079062
YBL106C,N,361,295,1,9.15,123,46,30,47,67,20,437,-0.078713,0.085149
YBL107C,N,295,2227,0,6.97,104,12,12,18,16,2,387,-0.978061,0.081633
YBR001C,N,424,1473,1,6.44,123,47,21,58,49,17,413,-0.543974,0.120513
YBR002C,Y,240,424,1,7.79,109,15,3,27,21,7,0.4,-0.315385,0.083916
YBR003W,N,240,135,0,9.39,0.14,27,13,28,34,8,445,-0.2537,0.057082
YBR005W,N,238,462,1,6.69,74,9,12,14,5,2,375,-0.570892,0.093897
YBR006W,N,462,301,7,6.61,195,19,9,36,37,9,525,-0.052918,0.090543
YBR007C,N,1546,301,0,10.01,122,40,22,43,69,15,391,-0.91413,0.069293
YBR008C,N,1160,1546,5,6.31,156,19,10,26,16,15,465,0.410219,0.14781
YBR009C,N,646,1160,1,11.95,734,3,2,4,11,1,853,-0.503884,0.058252
YBR010W,N,646,370,1,12,622,4,8,7,16,1,785,-0.677941,0.051471
YBR011C,Y,7516,370,1,5.33,621,24,7,19,29,3,799,-0.51777,0.097561
YBR013C,N,845,7516,0,7.15,0.1,3,5,5,5,3,373,0.028682,0.108527
YBR014C,N,373,845,1,5.91,154,12,6,15,14,3,462,-0.436946,0.073892
YBR015C,N,743,373,1,6.18,0.17,48,9,34,57,10,489,-0.417085,0.123953
YBR016W,N,743,313,0,7.25,106,2,33,3,2,3,456,-1.47422,125
YBR017C,N,723,313,0,4.34,144,70,37,64,44,28,438,-0.030719,0.087146
YBR018C,N,725,723,0,7.57,222,18,19,24,23,6,499,-0.540164,0.10929
YBR019C,N,668,725,0,5.84,186,40,21,44,43,9,496,-0.338341,0.107296
YBR020W,N,668,835,1,6.71,194,24,12,34,38,10,507,-0.089015,0.092803
YBR021W,N,835,393,5,7.86,186,22,15,24,29,15,513,0.235229,0.164297
YBR022W,N,393,156,0,7.64,117,7,4,13,16,3,401,-0.329944,0.112994
YBR023C,N,1519,156,0,6.68,167,84,35,54,83,30,478,-0.267039,0.103004
YBR025C,N,1011,330,1,7.42,567,24,13,33,38,8,0.76,-0.288579,0.068528
YBR028C,N,366,405,11,7.87,149,33,13,34,46,9,441,-0.567048,0.093333
YBR029C,Y,549,366,0,8.64,169,15,9,19,33,7,506,0.387527,0.142232
YBR030W,N,549,215,0,4.37,153,48,13,59,39,9,446,-0.475906,0.086957
YBR031W,N,215,689,1,11.4,803,7,12,16,32,3,901,-0.305801,0.055249
YBR033W,N,689,226,1,8.63,116,39,36,56,67,21,407,-0.388575,0.08161
YBR034C,N,292,226,0,5.23,267,29,7,24,28,10,587,-0.377874,0.109195
YBR035C,N,2125,292,0,7.62,241,15,9,22,16,1,0.6,-0.866667,0.114035
YBR036C,N,250,2125,0,7.25,142,14,11,15,18,15,501,0.383414,0.104878
YBR038W,Y,445,786,1,8.98,172,48,36,50,61,24,486,-0.260748,0.121495
YBR040W,N,457,401,0,10.3,132,9,6,6,18,10,428,0.42349,0.124161
YBR041W,N,401,280,0,8.47,194,36,27,35,47,14,498,-0.173393,0.133034
YBR042C,N,266,280,1,10.15,133,15,10,21,35,4,435,-0.007809,0.118388
YBR043C,N,391,266,0,7.76,124,30,24,35,31,19,436,-0.06328,0.105951
YBR045C,N,414,2310,0,5.02,0.14,54,16,52,49,7,394,-1.03543,0.082024
YBR046C,N,321,414,0,9.46,156,15,10,23,34,3,491,-0.153593,0.107784
YBR048W,N,470,573,1,11.55,733,2,6,4,20,2,876,-0.457051,0.096154
YBR049C,Y,364,573,0,4.83,199,94,53,55,63,17,464,-1.19506,0.044444
YBR050C,N,520,364,0,8.14,138,27,10,18,28,6,433,-0.758876,0.076923
YBR052C,N,322,520,2,5.03,149,12,3,16,17,4,0.46,-0.15,0.109524
YBR053C,N,2349,322,0,4.77,167,26,8,26,26,4,467,-0.269274,0.106145
YBR054W,N,2349,466,2,9.94,457,14,7,15,31,11,738,0.145349,0.127907
YBR055C,Y,577,466,0,8.04,127,59,46,67,77,17,392,-0.540935,0.087875
YBR056W,N,577,1870,0,6.43,202,41,18,32,48,8,471,-0.615968,0.129741
YBR057C,N,378,737,0,5.84,123,11,18,34,25,20,406,-0.867213,0.060109
YBR058C,N,306,378,0,4.95,162,50,37,56,55,15,453,-0.523304,0.083227
YBR059C,N,464,294,0,7.73,146,52,97,69,64,31,462,-0.829693,0.064079
YBR060C,Y,2272,464,0,10.24,0.14,29,27,43,62,17,452,-0.706613,0.083871
YBR061C,N,256,2272,0,7.84,143,26,14,12,25,5,411,-0.38871,0.087097
YBR062C,N,647,256,0,4.53,145,11,12,20,7,5,442,-0.738333,0.072222
YBR063C,N,399,647,0,6.55,131,25,8,29,28,10,425,-0.376485,0.094059
YBR065C,N,358,399,0,10.24,107,17,9,20,43,6,387,-0.411539,0.057692
YBR066C,N,1402,358,1,10.61,124,10,7,8,24,5,416,-0.867273,0.068182
YBR067C,N,1125,1402,0,4.02,0.45,8,5,10,5,2,734,0.260952,0.052381
YBR068C,N,883,1125,16,8.11,157,23,16,25,30,17,487,0.239409,0.136289
YBR069C,N,787,883,16,7.67,151,22,19,29,30,12,482,0.245234,0.121163
YBR070C,Y,476,787,0,10.49,101,6,7,10,19,5,425,0.310126,0.118143
YBR071W,N,476,983,0,8.43,139,16,7,12,18,7,0.48,-0.866825,0.052133
YBR072W,N,983,183,0,5.22,338,21,5,12,20,1,645,-0.687851,0.093458
YBR073W,N,192,297,7,9.85,135,55,35,48,85,23,434,-0.42381,0.072511
YBR074W,N,297,1157,0,6.52,125,52,36,51,51,17,421,-0.169365,0.115779
YBR076W,N,1157,410,0,8.96,145,16,13,21,32,6,432,-0.632448,0.132743
YBR077C,N,830,410,0,4.77,142,10,3,12,12,7,481,-0.241358,0.08642
YBR078W,N,830,522,3,4.76,553,19,16,11,21,5,0.81,0.18141,0.061966
YBR079C,Y,336,522,0,6.24,355,55,42,113,96,19,643,-0.669813,0.06639
YBR080C,Y,362,336,9,8.08,193,48,24,42,52,19,508,-0.241953,0.073879
YBR081C,N,1376,362,0,4.57,154,125,57,139,129,28,431,-0.905405,0.066817
YBR082C,N,1999,1376,5,6.5,313,12,2,5,11,2,601,-0.314865,0.101351
YBR083W,N,1999,424,0,7.71,121,20,24,40,42,5,448,-0.804938,0.08642
YBR084C-A,N,721,204,1,11.93,686,7,7,12,23,1,817,-0.950794,0.037037
YBR086C,N,723,1036,0,9.73,176,38,33,43,81,10,479,-0.211311,0.104651
YBR087W,Y,723,160,1,8.16,152,19,9,22,25,10,439,-0.057062,0.050847
YBR088C,Y,423,160,0,4.26,256,27,9,19,18,6,0.56,0.000387,0.081395
YBR090C,N,96,566,0,11.81,0.08,1,9,4,8,2,379,-0.346721,0.139344
YBR092C,N,446,213,4,4.27,354,42,16,25,21,10,644,-0.373233,0.139186
YBR093C,N,1084,446,4,4.48,0.46,41,16,22,23,7,709,-0.406852,0.139186
YBR094W,N,1084,108,0,4.66,176,62,20,56,55,14,483,-0.425896,0.10757
YBR095C,N,322,108,0,4.65,146,27,15,45,23,7,472,-0.626279,0.048837
YBR096W,N,322,237,0,8.48,209,7,4,16,22,5,536,-0.133913,0.173913
YBR098W,N,199,230,0,7.53,108,50,34,50,67,12,382,-0.734298,0.073806
YBR101C,N,368,230,0,4.76,158,23,9,22,24,8,468,-0.242414,0.058621
